,lat,lon,alt,time
0,59.80459,9.64447,19309.834,0.0
1,59.778584,9.650595,19340.223,1.224736
2,59.791553,9.658159,19265.32,2.8199852
3,59.785454,9.666577,19232.33,4.153163
4,59.793407,9.667297,19158.744,5.616107
5,59.790344,9.674743,19114.34,6.9559345
6,59.792107,9.677144,19035.496,8.138988
7,59.79028,9.680075,19017.83,9.663978
8,59.794765,9.681575,18970.52,10.934263
9,59.799267,9.685285,18937.16,12.502277
10,59.80091,9.682102,18940.559,14.130309
11,59.801815,9.687059,18857.715,15.301974
12,59.798573,9.699607,18868.441,16.67845
13,59.803867,9.696594,18775.734,18.032095
14,59.807648,9.704971,18778.191,19.780272
15,59.807476,9.709312,18630.338,20.896244
16,59.81311,9.714996,18661.586,22.282383
17,59.80794,9.721198,18548.81,23.503307
18,59.810654,9.717884,18483.697,24.961266
19,59.813553,9.724687,18471.344,26.587883
20,59.80895,9.727249,18393.102,27.247868
21,59.816586,9.725509,18341.457,29.11393
22,59.816376,9.728913,18324.248,30.971687
23,59.824493,9.735448,18217.182,32.42764
24,59.824177,9.742396,18235.24,33.310608
25,59.820045,9.752106,18136.535,34.578274
26,59.821712,9.755442,18041.09,36.231853
27,59.826565,9.753801,18050.168,37.937935
28,59.831097,9.758558,17946.348,39.01991
29,59.83019,9.765856,17925.568,39.752537
30,59.836098,9.768102,17852.225,41.546307
31,59.835457,9.772408,17890.13,43.076492
32,59.83557,9.774965,17744.822,44.53525
33,59.841446,9.774821,17748.553,46.2964
34,59.844147,9.783157,17728.822,47.21982
35,59.84179,9.788022,17650.154,48.24813
36,59.845905,9.791912,17543.977,50.570087
37,59.84843,9.803016,17526.865,51.49553
38,59.848305,9.800667,17453.14,52.3533
39,59.847523,9.806169,17446.93,53.98448
40,59.84881,9.803624,17378.47,55.682903
41,59.856888,9.803531,17398.408,58.43782
42,59.86025,9.816896,17355.582,58.172348
43,59.85728,9.823487,17255.271,59.3555
44,59.858265,9.828135,17237.846,62.428623
45,59.861904,9.834703,17192.525,62.782825
46,59.853664,9.830644,17045.748,64.23636
47,59.85992,9.829007,17142.123,65.5189
48,59.861523,9.828825,17069.545,67.57046
49,59.868103,9.8344965,17007.03,68.31913
50,59.86873,9.847021,16983.133,69.98644
51,59.86831,9.848991,16911.717,71.896164
52,59.863365,9.853408,16938.178,73.05639
53,59.870132,9.85737,16912.83,73.93153
54,59.870995,9.861545,16838.412,76.29268
55,59.872593,9.864333,16782.734,77.59231
56,59.870846,9.866856,16784.33,78.40597
57,59.872566,9.872729,16698.27,79.665886
58,59.873684,9.877487,16679.219,82.04214
59,59.875443,9.871749,16653.242,83.87193
60,59.874516,9.880213,16635.453,83.47553
61,59.875134,9.881784,16560.215,85.67581
62,59.882645,9.895061,16623.38,88.85096
63,59.88448,9.897201,16485.328,89.64934
64,59.881355,9.904713,16447.787,89.57081
65,59.877686,9.915314,16373.737,90.83901
66,59.87927,9.912225,16319.203,93.63474
67,59.88285,9.915611,16320.368,94.83294
68,59.887707,9.915922,16262.933,94.68757
69,59.883125,9.9160795,16200.314,97.910904
70,59.891407,9.925662,16240.871,99.27167
71,59.888138,9.930134,16133.309,100.0216
72,59.890358,9.9354,16093.99,101.810684
73,59.893463,9.942895,16040.821,102.80911
74,59.892643,9.944399,15985.534,105.40573
75,59.89299,9.9524355,15960.752,104.508095
76,59.90094,9.949059,15866.675,105.81988
77,59.89803,9.956489,15839.438,109.407166
78,59.90108,9.960841,15801.399,106.349106
79,59.901573,9.969576,15785.233,109.56049
80,59.905296,9.966013,15778.465,113.305115
81,59.9089,9.976314,15700.887,114.84149
82,59.90876,9.97054,15650.711,112.61144
83,59.908253,9.980755,15659.603,117.008606
84,59.911922,9.989661,15555.2,119.125565
85,59.91285,9.99105,15581.719,120.99961
86,59.91156,9.992827,15461.614,118.41028
87,59.91501,9.996087,15463.598,121.44418
88,59.91683,9.995437,15448.648,123.72094
89,59.91937,10.00112,15405.404,125.39984
90,59.920948,10.002352,15380.13,126.800385
91,59.92508,10.010294,15328.402,127.978584
92,59.92148,10.017107,15305.426,130.13683
93,59.92598,10.01758,15232.057,130.74258
94,59.92477,10.018108,15246.497,135.56123
95,59.92996,10.022639,15164.629,134.47029
96,59.93195,10.023214,15176.371,134.32011
97,59.930557,10.027495,15111.958,137.36287
98,59.932384,10.0343895,15066.257,140.99432
99,59.936516,10.029031,15013.6875,140.29646
100,59.938084,10.040433,14978.883,140.87881
101,59.93785,10.039295,14966.515,142.04288
102,59.940052,10.047228,14890.974,146.03123
103,59.94063,10.044853,14860.017,147.12614
104,59.94437,10.052228,14816.923,146.6303
105,59.94427,10.049446,14797.536,148.55122
106,59.947453,10.055139,14722.661,152.22362
107,59.95057,10.062047,14695.654,151.93741
108,59.951096,10.068426,14621.063,152.89308
109,59.952244,10.071714,14588.798,154.4972
110,59.954933,10.074587,14536.408,155.76546
111,59.956463,10.078739,14495.051,157.09521
112,59.957283,10.075411,14448.77,160.75548
113,59.960358,10.084,14440.722,159.57913
114,59.96317,10.089246,14409.087,160.17279
115,59.965076,10.092391,14337.735,162.11925
116,59.962585,10.0932045,14310.947,167.14153
117,59.969597,10.095187,14286.614,167.71565
118,59.970974,10.102242,14197.64,166.32698
119,59.970387,10.104981,14180.739,168.10086
120,59.973236,10.108287,14140.101,170.38806
121,59.9735,10.114816,14019.514,174.94627
122,59.97724,10.110633,14085.792,169.5767
123,59.97832,10.125139,14066.023,173.38777
124,59.977783,10.1222315,13962.255,176.47008
125,59.98478,10.124272,13972.845,177.65654
126,59.98384,10.126059,13899.037,178.40805
127,59.986248,10.130703,13853.951,181.03966
128,59.988174,10.13579,13878.302,179.04063
129,59.99025,10.138151,13761.765,185.73572
130,59.992924,10.137387,13809.032,182.36993
131,59.995792,10.141408,13751.118,185.53874
132,59.99291,10.14324,13728.148,186.05414
133,59.996887,10.148372,13739.644,186.76218
134,59.996902,10.153403,13689.987,191.85205
135,59.999237,10.149166,13655.151,192.8126
136,59.999775,10.159565,13604.296,192.20152
137,59.999195,10.16253,13567.787,193.69081
138,60.00276,10.167075,13553.622,198.07039
139,60.00252,10.1603,13479.982,197.57378
140,60.00793,10.166476,13509.0,197.59958
141,60.002743,10.17372,13447.734,197.42499
142,60.007935,10.177756,13462.94,203.16948
143,60.009438,10.177679,13421.884,205.4217
144,60.010635,10.187452,13317.957,205.06541
145,60.015026,10.189488,13342.189,205.00381
146,60.011623,10.198193,13302.289,209.35997
147,60.01128,10.191828,13210.701,208.92244
148,60.02188,10.198018,13219.256,210.48456
149,60.01441,10.201427,13216.37,206.57275
150,60.020096,10.198939,13163.926,213.47467
151,60.02011,10.200154,13148.52,216.41426
152,60.024513,10.213743,13070.016,217.716
153,60.026283,10.217846,13049.165,214.03444
154,60.02306,10.222907,12997.397,217.90135
155,60.022655,10.219978,12906.002,221.13872
156,60.030567,10.223443,12960.102,223.82265
157,60.030296,10.231642,12852.435,220.18546
158,60.031666,10.233303,12803.485,220.80176
159,60.037712,10.239214,12828.562,223.8436
160,60.038193,10.248852,12773.383,228.4395
161,60.039948,10.244639,12756.9375,227.89366
162,60.041016,10.246638,12684.399,229.14037
163,60.042706,10.250153,12698.384,231.21323
164,60.04456,10.256306,12632.458,231.73232
165,60.04843,10.258415,12595.857,234.58614
166,60.048237,10.261248,12513.845,234.61179
167,60.05105,10.268057,12490.077,234.41527
168,60.0516,10.270444,12484.546,235.85162
169,60.05605,10.269299,12447.809,241.06969
170,60.059036,10.274237,12406.984,243.4545
171,60.061035,10.28238,12359.494,240.50325
172,60.058422,10.281458,12300.181,241.0618
173,60.064373,10.2828,12299.514,249.40263
174,60.064835,10.287132,12262.322,247.05292
175,60.0647,10.295302,12165.083,245.18301
176,60.067875,10.291929,12172.809,247.578
177,60.071693,10.295094,12100.309,250.20526
178,60.074074,10.301765,12132.614,251.79192
179,60.078503,10.3072605,12063.691,253.04703
180,60.076256,10.307326,12037.127,253.50146
181,60.07939,10.311863,11999.465,257.145
182,60.08241,10.312277,11981.532,257.3033
183,60.083637,10.313612,11932.074,261.75446
184,60.08743,10.315599,11915.647,260.93182
185,60.08882,10.321467,11871.356,261.0509
186,60.090485,10.33235,11841.137,260.9023
187,60.091965,10.332232,11786.614,262.7395
188,60.094517,10.332579,11760.322,266.58228
189,60.09796,10.33737,11730.587,267.69003
190,60.099384,10.337986,11701.623,268.71603
191,60.102474,10.344732,11681.771,272.28012
192,60.104904,10.345998,11630.373,274.3271
193,60.10476,10.352485,11589.317,272.12943
194,60.107197,10.357511,11541.968,271.27548
195,60.108013,10.359919,11568.482,278.83765
196,60.113304,10.361151,11493.123,279.95868
197,60.116295,10.366104,11471.469,276.46588
198,60.115154,10.366394,11426.495,281.31033
199,60.119835,10.370237,11439.115,280.976
200,60.123657,10.374916,11388.595,284.9555
201,60.124966,10.380139,11369.8125,284.38425
202,60.1269,10.384596,11324.242,285.45184
203,60.13023,10.385759,11307.359,288.97266
